sku,website_code,currency,price
SPORT-TSHIRT-001,uk_website,GBP,29.99
SPORT-TSHIRT-001,eu_website,EUR,34.99
SPORT-TSHIRT-002,uk_website,GBP,24.99
SPORT-TSHIRT-002,eu_website,EUR,29.99
SPORT-SHORTS-001,uk_website,GBP,34.99
SPORT-SHORTS-001,eu_website,EUR,39.99
SPORT-LEGGINGS-001,uk_website,GBP,49.99
SPORT-LEGGINGS-001,eu_website,EUR,59.99
SPORT-JACKET-001,uk_website,GBP,79.99
SPORT-JACKET-001,eu_website,EUR,94.99
SPORT-SPORTS-BRA-001,uk_website,GBP,39.99
SPORT-SPORTS-BRA-001,eu_website,EUR,47.99
SPORT-SOCKS-001,uk_website,GBP,12.99
SPORT-SOCKS-001,eu_website,EUR,15.99
SPORT-CAP-001,uk_website,GBP,19.99
SPORT-CAP-001,eu_website,EUR,23.99
SPORT-GLOVES-001,uk_website,GBP,24.99
SPORT-GLOVES-001,eu_website,EUR,29.99
SPORT-HEADBAND-001,uk_website,GBP,8.99
SPORT-HEADBAND-001,eu_website,EUR,10.99
SPORT-TSHIRT-003,uk_website,GBP,39.99
SPORT-TSHIRT-003,eu_website,EUR,47.99
SPORT-SHORTS-002,uk_website,GBP,29.99
SPORT-SHORTS-002,eu_website,EUR,35.99
SPORT-LEGGINGS-002,uk_website,GBP,59.99
SPORT-LEGGINGS-002,eu_website,EUR,71.99
SPORT-JACKET-002,uk_website,GBP,89.99
SPORT-JACKET-002,eu_website,EUR,107.99
SPORT-SPORTS-BRA-002,uk_website,GBP,29.99
SPORT-SPORTS-BRA-002,eu_website,EUR,35.99
SPORT-SOCKS-002,uk_website,GBP,15.99
SPORT-SOCKS-002,eu_website,EUR,19.99
SPORT-CAP-002,uk_website,GBP,22.99
SPORT-CAP-002,eu_website,EUR,27.99
SPORT-GLOVES-002,uk_website,GBP,34.99
SPORT-GLOVES-002,eu_website,EUR,41.99
SPORT-HEADBAND-002,uk_website,GBP,12.99
SPORT-HEADBAND-002,eu_website,EUR,15.99
SPORT-TSHIRT-004,uk_website,GBP,32.99
SPORT-TSHIRT-004,eu_website,EUR,39.99
SPORT-SHOES-001,uk_website,GBP,129.99
SPORT-SHOES-001,eu_website,EUR,154.99
SPORT-JACKET-003,uk_website,GBP,69.99
SPORT-JACKET-003,eu_website,EUR,83.99
SPORT-PANTS-001,uk_website,GBP,54.99
SPORT-PANTS-001,eu_website,EUR,65.99
SPORT-SWEATSHIRT-001,uk_website,GBP,49.99
SPORT-SWEATSHIRT-001,eu_website,EUR,59.99
SPORT-LEGGINGS-003,uk_website,GBP,44.99
SPORT-LEGGINGS-003,eu_website,EUR,53.99
SPORT-SET-001,uk_website,GBP,0
SPORT-SET-001,eu_website,EUR,0
SPORT-SET-002,uk_website,GBP,0
SPORT-SET-002,eu_website,EUR,0
SPORT-SET-003,uk_website,GBP,0
SPORT-SET-003,eu_website,EUR,0
SPORT-SET-004,uk_website,GBP,0
SPORT-SET-004,eu_website,EUR,0
SPORT-SET-005,uk_website,GBP,0
SPORT-SET-005,eu_website,EUR,0
SPORT-BUNDLE-001,uk_website,GBP,0
SPORT-BUNDLE-001,eu_website,EUR,0
SPORT-BUNDLE-002,uk_website,GBP,0
SPORT-BUNDLE-002,eu_website,EUR,0
SPORT-BUNDLE-003,uk_website,GBP,0
SPORT-BUNDLE-003,eu_website,EUR,0
