sku,name,description,short_description,meta_title,meta_description,meta_keywords,categories,store_view_code
SPORT-TSHIRT-001,"High-Performance Running T-Shirt","High-performance running t-shirt with moisture-wicking technology. Perfect for intense workouts and long-distance running.","Moisture-wicking running t-shirt for optimal performance.","High-Performance Running T-Shirt","High-performance running t-shirt with moisture-wicking technology","performance;running;tshirt","Tops/T-Shirts",ie
SPORT-TSHIRT-002,"Training Tank Top","Lightweight training tank top designed for gym workouts and cross-training sessions.","Lightweight tank top for gym training.","Training Tank Top","Lightweight training tank top for gym workouts","training;tank;gym","Tops/Tank Tops",ie
SPORT-SHORTS-001,"Athletic Running Shorts","Comfortable running shorts with built-in compression liner and side pockets.","Running shorts with compression liner.","Athletic Running Shorts","Comfortable running shorts with compression liner","running;shorts;athletic","Bottoms/Shorts",ie
SPORT-LEGGINGS-001,"High-Waist Yoga Leggings","Premium yoga leggings with high-waist design and four-way stretch fabric.","High-waist yoga leggings with four-way stretch.","High-Waist Yoga Leggings","High-waist yoga leggings with four-way stretch fabric","yoga;leggings;stretch","Bottoms/Leggings",ie
SPORT-JACKET-001,"Windbreaker Running Jacket","Lightweight windbreaker jacket perfect for outdoor running in all weather conditions.","Lightweight windbreaker for outdoor running.","Windbreaker Running Jacket","Lightweight windbreaker for outdoor running","windbreaker;jacket;running","Outerwear/Windbreakers",ie
SPORT-SPORTS-BRA-001,"High-Impact Sports Bra","High-impact sports bra with maximum support for intense workouts and running.","High-impact sports bra for intense workouts.","High-Impact Sports Bra","High-impact sports bra for intense workouts","sports;bra;high-impact","Tops/Sports Bras",ie
SPORT-SOCKS-001,"Moisture-Wicking Athletic Socks","Performance athletic socks with moisture-wicking technology and cushioned sole.","Moisture-wicking athletic socks.","Moisture-Wicking Athletic Socks","Moisture-wicking athletic socks with cushioned sole","socks;athletic;moisture-wicking","Accessories/Socks",ie
SPORT-CAP-001,"Performance Baseball Cap","Lightweight baseball cap with moisture-wicking fabric and adjustable closure.","Performance baseball cap with moisture-wicking fabric.","Performance Baseball Cap","Performance baseball cap with moisture-wicking fabric","cap;baseball;performance","Accessories/Caps",ie
SPORT-GLOVES-001,"Training Workout Gloves","Grip-enhancing workout gloves with breathable mesh and padded palms.","Grip-enhancing workout gloves.","Training Workout Gloves","Training gloves with grip enhancement","gloves;workout;training","Accessories/Gloves",ie
SPORT-HEADBAND-001,"Sweat-Wicking Headband","Elastic headband with moisture-wicking technology to keep sweat away from your eyes.","Sweat-wicking elastic headband.","Sweat-Wicking Headband","Sweat-wicking headband for active wear","headband;sweat-wicking;elastic","Accessories/Headbands",ie
SPORT-TSHIRT-005,"Quick-Dry Performance T-Shirt","Quick-dry performance t-shirt with advanced moisture management technology.","Quick-dry performance t-shirt for active wear.","Quick-Dry Performance T-Shirt","Quick-dry performance t-shirt with moisture management","quick-dry;performance;tshirt","Tops/T-Shirts",ie
SPORT-TSHIRT-006,"Anti-Odor Training T-Shirt","Anti-odor training t-shirt with silver ion technology to prevent bacterial growth.","Anti-odor training t-shirt with silver technology.","Anti-Odor Training T-Shirt","Anti-odor training t-shirt with silver ion technology","anti-odor;training;silver","Tops/T-Shirts",ie
SPORT-SHORTS-003,"Performance Running Shorts","Performance running shorts with built-in compression liner and side pockets.","Performance running shorts with compression liner.","Performance Running Shorts","Performance running shorts with compression liner","performance;running;shorts","Bottoms/Shorts",ie
SPORT-SHORTS-004,"Training Basketball Shorts","Training basketball shorts with mesh side panels and elastic waistband.","Training basketball shorts with mesh panels.","Training Basketball Shorts","Training basketball shorts with mesh side panels","basketball;training;shorts","Bottoms/Shorts",ie
SPORT-LEGGINGS-004,"High-Waist Training Leggings","High-waist training leggings with compression technology and side pockets.","High-waist training leggings with compression.","High-Waist Training Leggings","High-waist training leggings with compression technology","high-waist;training;leggings","Bottoms/Leggings",ie
SPORT-LEGGINGS-005,"Seamless Yoga Leggings","Seamless yoga leggings with four-way stretch and comfortable waistband.","Seamless yoga leggings with four-way stretch.","Seamless Yoga Leggings","Seamless yoga leggings with four-way stretch","seamless;yoga;leggings","Bottoms/Leggings",ie
SPORT-JACKET-004,"Waterproof Training Jacket","Waterproof training jacket with breathable membrane and adjustable hood.","Waterproof training jacket with breathable membrane.","Waterproof Training Jacket","Waterproof training jacket with breathable membrane","waterproof;training;jacket","Outerwear/Windbreakers",ie
SPORT-JACKET-005,"Lightweight Running Jacket","Lightweight running jacket with wind-resistant fabric and reflective details.","Lightweight running jacket with wind resistance.","Lightweight Running Jacket","Lightweight running jacket with wind-resistant fabric","lightweight;running;jacket","Outerwear/Windbreakers",ie
SPORT-SPORTS-BRA-003,"Low-Impact Sports Bra","Low-impact sports bra with comfortable support for light activities.","Low-impact sports bra for light activities.","Low-Impact Sports Bra","Low-impact sports bra for light activities","low-impact;sports;bra","Sports Bras",ie
SPORT-SPORTS-BRA-004,"Wireless Sports Bra","Wireless sports bra with maximum comfort and support for all activities.","Wireless sports bra with maximum comfort.","Wireless Sports Bra","Wireless sports bra with maximum comfort","wireless;sports;bra","Sports Bras",ie
SPORT-SOCKS-003,"Merino Wool Athletic Socks","Merino wool athletic socks with natural odor resistance and temperature regulation.","Merino wool athletic socks with odor resistance.","Merino Wool Athletic Socks","Merino wool athletic socks with natural odor resistance","merino;wool;athletic;socks","Socks",ie
SPORT-SOCKS-004,"Compression Running Socks","Compression running socks with arch support and moisture-wicking technology.","Compression running socks with arch support.","Compression Running Socks","Compression running socks with arch support","compression;running;socks","Socks",ie
SPORT-CAP-003,"Moisture-Wicking Baseball Cap","Moisture-wicking baseball cap with adjustable closure and breathable fabric.","Moisture-wicking baseball cap with breathable fabric.","Moisture-Wicking Baseball Cap","Moisture-wicking baseball cap with breathable fabric","moisture-wicking;baseball;cap","Caps",ie
SPORT-CAP-004,"Performance Trucker Cap","Performance trucker cap with mesh back and moisture-wicking front panel.","Performance trucker cap with mesh back.","Performance Trucker Cap","Performance trucker cap with mesh back","performance;trucker;cap","Caps",ie
SPORT-GLOVES-003,"Cycling Gloves","Cycling gloves with gel padding and breathable mesh for long rides.","Cycling gloves with gel padding.","Cycling Gloves","Cycling gloves with gel padding and breathable mesh","cycling;gloves;gel","Gloves",ie
SPORT-GLOVES-004,"CrossFit Gloves","CrossFit gloves with reinforced palms and wrist support for heavy lifting.","CrossFit gloves with reinforced palms.","CrossFit Gloves","CrossFit gloves with reinforced palms and wrist support","crossfit;gloves;reinforced","Gloves",ie
SPORT-HEADBAND-003,"Elastic Sports Headband","Elastic sports headband with moisture-wicking fabric and secure fit.","Elastic sports headband with moisture-wicking fabric.","Elastic Sports Headband","Elastic sports headband with moisture-wicking fabric","elastic;sports;headband","Headbands",ie
SPORT-HEADBAND-004,"Compression Headband","Compression headband for secure fit and sweat management during intense workouts.","Compression headband for secure fit.","Compression Headband","Compression headband for secure fit","compression;headband;secure","Headbands",ie
SPORT-WRISTBAND-001,"Moisture-Wicking Wristband","Moisture-wicking wristband with elastic fit and sweat absorption technology.","Moisture-wicking wristband with elastic fit.","Moisture-Wicking Wristband","Moisture-wicking wristband with elastic fit","wristband;moisture-wicking;elastic","Accessories",ie
SPORT-WRISTBAND-002,"Compression Wristband","Compression wristband for joint support and improved circulation during workouts.","Compression wristband for joint support.","Compression Wristband","Compression wristband for joint support","compression;wristband;joint","Accessories",ie
SPORT-SHOES-002,"Training Sneakers","Versatile training sneakers with responsive cushioning and breathable upper. Available in multiple sizes and colors.","Training sneakers with responsive cushioning.","Training Sneakers","Versatile training sneakers with responsive cushioning","training;sneakers;responsive","Training Shoes",ie
SPORT-SHOES-003,"Basketball Shoes","High-performance basketball shoes with ankle support and superior traction. Available in multiple sizes and colors.","Basketball shoes with ankle support.","Basketball Shoes","High-performance basketball shoes with ankle support","basketball;shoes;ankle","Basketball Shoes",ie
SPORT-SHOES-004,"Cross-Training Shoes","Cross-training shoes with stability and flexibility for various workouts. Available in multiple sizes and colors.","Cross-training shoes with stability.","Cross-Training Shoes","Cross-training shoes with stability and flexibility","cross-training;shoes;stability","Cross-Training Shoes",ie
SPORT-JACKET-006,"Performance Hoodie","Performance hoodie with moisture-wicking fabric and adjustable hood. Available in multiple sizes and colors.","Performance hoodie with moisture-wicking fabric.","Performance Hoodie","Performance hoodie with moisture-wicking fabric","performance;hoodie;moisture-wicking","Hoodies",ie
SPORT-JACKET-007,"Training Sweatshirt","Training sweatshirt with comfortable fit and moisture-wicking technology. Available in multiple sizes and colors.","Training sweatshirt with comfortable fit.","Training Sweatshirt","Training sweatshirt with comfortable fit","training;sweatshirt;comfortable","Sweatshirts",ie
SPORT-PANTS-002,"Training Joggers","Training joggers with elastic waistband and tapered fit. Available in multiple sizes and colors.","Training joggers with elastic waistband.","Training Joggers","Training joggers with elastic waistband","training;joggers;elastic","Joggers",ie
SPORT-PANTS-003,"Performance Shorts","Performance shorts with compression liner and side pockets. Available in multiple sizes and colors.","Performance shorts with compression liner.","Performance Shorts","Performance shorts with compression liner","performance;shorts;compression","Shorts",ie
