sku,name,attribute_set_code,product_type,price,weight,status,visibility,description,short_description,categories,meta_title,meta_description,meta_keywords,url_key,manage_stock,use_config_manage_stock,qty,is_in_stock,stock_status,size,color,parent_sku,store_view_code
SPORT-SHOES-001-SMALL-BLACK,Performance Running Shoes - Small Black,Default,simple,129.99,0.8,1,1,"High-performance running shoes with advanced cushioning and breathable upper. Size Small in Black.","Performance running shoes - Small Black.","Default Category/Clothing/Shoes","Performance Running Shoes - Small Black","High-performance running shoes - Small Black","running;shoes;performance;small;black",performance-running-shoes-small-black-001,1,1,25,1,1,Small,Black,SPORT-SHOES-001,en
SPORT-SHOES-001-MEDIUM-BLACK,Performance Running Shoes - Medium Black,Default,simple,129.99,0.8,1,1,"High-performance running shoes with advanced cushioning and breathable upper. Size Medium in Black.","Performance running shoes - Medium Black.","Default Category/Clothing/Shoes","Performance Running Shoes - Medium Black","High-performance running shoes - Medium Black","running;shoes;performance;medium;black",performance-running-shoes-medium-black-001,1,1,30,1,1,Medium,Black,SPORT-SHOES-001,en
SPORT-SHOES-001-LARGE-BLACK,Performance Running Shoes - Large Black,Default,simple,129.99,0.8,1,1,"High-performance running shoes with advanced cushioning and breathable upper. Size Large in Black.","Performance running shoes - Large Black.","Default Category/Clothing/Shoes","Performance Running Shoes - Large Black","High-performance running shoes - Large Black","running;shoes;performance;large;black",performance-running-shoes-large-black-001,1,1,20,1,1,Large,Black,SPORT-SHOES-001,en
SPORT-SHOES-001-SMALL-WHITE,Performance Running Shoes - Small White,Default,simple,129.99,0.8,1,1,"High-performance running shoes with advanced cushioning and breathable upper. Size Small in White.","Performance running shoes - Small White.","Default Category/Clothing/Shoes","Performance Running Shoes - Small White","High-performance running shoes - Small White","running;shoes;performance;small;white",performance-running-shoes-small-white-001,1,1,25,1,1,Small,White,SPORT-SHOES-001,en
SPORT-SHOES-001-MEDIUM-WHITE,Performance Running Shoes - Medium White,Default,simple,129.99,0.8,1,1,"High-performance running shoes with advanced cushioning and breathable upper. Size Medium in White.","Performance running shoes - Medium White.","Default Category/Clothing/Shoes","Performance Running Shoes - Medium White","High-performance running shoes - Medium White","running;shoes;performance;medium;white",performance-running-shoes-medium-white-001,1,1,30,1,1,Medium,White,SPORT-SHOES-001,en
SPORT-SHOES-001-LARGE-WHITE,Performance Running Shoes - Large White,Default,simple,129.99,0.8,1,1,"High-performance running shoes with advanced cushioning and breathable upper. Size Large in White.","Performance running shoes - Large White.","Default Category/Clothing/Shoes","Performance Running Shoes - Large White","High-performance running shoes - Large White","running;shoes;performance;large;white",performance-running-shoes-large-white-001,1,1,20,1,1,Large,White,SPORT-SHOES-001,en
SPORT-JACKET-003-SMALL-BLACK,Training Hoodie - Small Black,Default,simple,69.99,0.7,1,1,"Comfortable training hoodie with moisture-wicking fabric and adjustable hood. Size Small in Black.","Training hoodie - Small Black.","Default Category/Clothing/Outerwear","Training Hoodie - Small Black","Comfortable training hoodie - Small Black","hoodie;training;small;black",training-hoodie-small-black-003,1,1,15,1,1,Small,Black,SPORT-JACKET-003,en
SPORT-JACKET-003-MEDIUM-BLACK,Training Hoodie - Medium Black,Default,simple,69.99,0.7,1,1,"Comfortable training hoodie with moisture-wicking fabric and adjustable hood. Size Medium in Black.","Training hoodie - Medium Black.","Default Category/Clothing/Outerwear","Training Hoodie - Medium Black","Comfortable training hoodie - Medium Black","hoodie;training;medium;black",training-hoodie-medium-black-003,1,1,20,1,1,Medium,Black,SPORT-JACKET-003,en
SPORT-JACKET-003-LARGE-BLACK,Training Hoodie - Large Black,Default,simple,69.99,0.7,1,1,"Comfortable training hoodie with moisture-wicking fabric and adjustable hood. Size Large in Black.","Training hoodie - Large Black.","Default Category/Clothing/Outerwear","Training Hoodie - Large Black","Comfortable training hoodie - Large Black","hoodie;training;large;black",training-hoodie-large-black-003,1,1,18,1,1,Large,Black,SPORT-JACKET-003,en
SPORT-JACKET-003-SMALL-GREY,Training Hoodie - Small Grey,Default,simple,69.99,0.7,1,1,"Comfortable training hoodie with moisture-wicking fabric and adjustable hood. Size Small in Grey.","Training hoodie - Small Grey.","Default Category/Clothing/Outerwear","Training Hoodie - Small Grey","Comfortable training hoodie - Small Grey","hoodie;training;small;grey",training-hoodie-small-grey-003,1,1,15,1,1,Small,Grey,SPORT-JACKET-003,en
