sku,name,description,short_description,meta_title,meta_description,meta_keywords,categories,store_view_code
SPORT-TSHIRT-001,"Maglietta da Corsa ad Alta Prestazione","Maglietta da corsa ad alta prestazione con tecnologia che assorbe l'umidità. Perfetta per allenamenti intensi e corse di lunga distanza.","Maglietta da corsa che assorbe l'umidità per prestazioni ottimali.","Maglietta da Corsa ad Alta Prestazione","Maglietta da corsa ad alta prestazione con tecnologia che assorbe l'umidità","prestazione;corsa;maglietta","Tops/T-Shirts",it
SPORT-TSHIRT-002,"Canottiera da Allenamento","Canottiera da allenamento leggera progettata per sessioni di palestra e cross-training.","Canottiera leggera per allenamento in palestra.","Canottiera da Allenamento","Canottiera da allenamento leggera per sessioni di palestra","allenamento;canottiera;palestra","Tops/Tank Tops",it
SPORT-SHORTS-001,"Shorts da Corsa Atletici","Shorts da corsa comodi con fodera di compressione integrata e tasche laterali.","Shorts da corsa con fodera di compressione.","Shorts da Corsa Atletici","Shorts da corsa comodi con fodera di compressione","corsa;shorts;atletici","Bottoms/Shorts",it
SPORT-LEGGINGS-001,"Leggings Yoga Vita Alta","Leggings yoga premium con design vita alta e tessuto elastico in quattro direzioni.","Leggings yoga vita alta con elasticità in quattro direzioni.","Leggings Yoga Vita Alta","Leggings yoga premium con elasticità in quattro direzioni","yoga;leggings;vita-alta","Bottoms/Leggings",it
SPORT-JACKET-001,"Giacca Antivento da Corsa","Giacca antivento leggera perfetta per la corsa all'aperto in tutte le condizioni meteorologiche.","Antivento leggero per corsa all'aperto.","Giacca Antivento da Corsa","Antivento leggero per corsa all'aperto","antivento;giacca;corsa","Outerwear/Windbreakers",it
SPORT-SPORTS-BRA-001,"Reggiseno Sportivo Alta Intensità","Reggiseno sportivo alta intensità con supporto massimo per allenamenti intensi e corsa.","Reggiseno sportivo alta intensità per allenamenti intensi.","Reggiseno Sportivo Alta Intensità","Reggiseno sportivo alta intensità per allenamenti intensi","sportivo;reggiseno;alta-intensità","Tops/Sports Bras",it
SPORT-SOCKS-001,"Calzini Atletici Assorbenti","Calzini atletici da performance con tecnologia assorbente e suola imbottita.","Calzini atletici assorbenti.","Calzini Atletici Assorbenti","Calzini atletici assorbenti con suola imbottita","calzini;atletici;assorbenti","Accessories/Socks",it
SPORT-CAP-001,"Cappello da Performance","Cappello leggero con tessuto assorbente e chiusura regolabile.","Cappello da performance con tessuto assorbente.","Cappello da Performance","Cappello da performance con tessuto assorbente","cappello;performance;assorbente","Accessories/Caps",it
SPORT-GLOVES-001,"Guanti da Allenamento","Guanti da allenamento che migliorano la presa con mesh traspirante e palmi imbottiti.","Guanti da allenamento che migliorano la presa.","Guanti da Allenamento","Guanti da allenamento con miglioramento della presa","guanti;allenamento;presa","Accessories/Gloves",it
SPORT-HEADBAND-001,"Fascia Assorbente","Fascia elastica con tecnologia assorbente per tenere lontano il sudore dagli occhi.","Fascia elastica assorbente.","Fascia Assorbente","Fascia assorbente per abbigliamento attivo","fascia;assorbente;elastica","Accessories/Headbands",it
SPORT-TSHIRT-005,"Maglietta Performance Asciugatura Rapida","Maglietta performance asciugatura rapida con tecnologia avanzata di gestione dell'umidità.","Maglietta performance asciugatura rapida per abbigliamento attivo.","Maglietta Performance Asciugatura Rapida","Maglietta performance asciugatura rapida con gestione dell'umidità","asciugatura-rapida;performance;maglietta","Tops/T-Shirts",it
