sku,name,attribute_set_code,product_type,price,weight,status,visibility,description,short_description,categories,meta_title,meta_description,meta_keywords,url_key,manage_stock,use_config_manage_stock,configurable_attributes,store_view_code
SPORT-SHOES-001,Performance Running Shoes,Default,configurable,129.99,0.8,1,4,"High-performance running shoes with advanced cushioning and breathable upper. Available in multiple sizes and colors.","Performance running shoes with advanced cushioning.","Running Shoes","Performance Running Shoes","High-performance running shoes with advanced cushioning","running;shoes;performance",performance-running-shoes-001,1,1,"size,color",en
SPORT-JACKET-003,Training Hoodie,Default,configurable,69.99,0.7,1,4,"Comfortable training hoodie with moisture-wicking fabric and adjustable hood. Available in multiple sizes and colors.","Training hoodie with moisture-wicking fabric.","Hoodies","Training Hoodie","Comfortable training hoodie with moisture-wicking fabric","hoodie;training;moisture-wicking",training-hoodie-003,1,1,"size,color",en
SPORT-PANTS-001,Athletic Joggers,Default,configurable,54.99,0.6,1,4,"Comfortable athletic joggers with elastic waistband and tapered fit. Available in multiple sizes and colors.","Athletic joggers with elastic waistband.","Joggers","Athletic Joggers","Comfortable athletic joggers with elastic waistband","joggers;athletic;elastic",athletic-joggers-001,1,1,"size,color",en
SPORT-SWEATSHIRT-001,Performance Sweatshirt,Default,configurable,49.99,0.5,1,4,"Performance sweatshirt with moisture-wicking technology and comfortable fit. Available in multiple sizes and colors.","Performance sweatshirt with moisture-wicking technology.","Sweatshirts","Performance Sweatshirt","Performance sweatshirt with moisture-wicking technology","sweatshirt;performance;moisture-wicking",performance-sweatshirt-001,1,1,"size,color",en
SPORT-LEGGINGS-003,Yoga Leggings,Default,configurable,44.99,0.3,1,4,"High-quality yoga leggings with four-way stretch and comfortable waistband. Available in multiple sizes and colors.","Yoga leggings with four-way stretch.","Leggings","Yoga Leggings","High-quality yoga leggings with four-way stretch","leggings;yoga;stretch",yoga-leggings-003,1,1,"size,color",en
SPORT-SHOES-002,Training Sneakers,Default,configurable,99.99,0.7,1,4,"Versatile training sneakers with responsive cushioning and breathable upper. Available in multiple sizes and colors.","Training sneakers with responsive cushioning.","Training Shoes","Training Sneakers","Versatile training sneakers with responsive cushioning","training;sneakers;responsive",training-sneakers-002,1,1,"size,color",en
SPORT-SHOES-003,Basketball Shoes,Default,configurable,119.99,0.9,1,4,"High-performance basketball shoes with ankle support and superior traction. Available in multiple sizes and colors.","Basketball shoes with ankle support.","Basketball Shoes","Basketball Shoes","High-performance basketball shoes with ankle support","basketball;shoes;ankle",basketball-shoes-003,1,1,"size,color",en
SPORT-SHOES-004,Cross-Training Shoes,Default,configurable,109.99,0.8,1,4,"Cross-training shoes with stability and flexibility for various workouts. Available in multiple sizes and colors.","Cross-training shoes with stability.","Cross-Training Shoes","Cross-Training Shoes","Cross-training shoes with stability and flexibility","cross-training;shoes;stability",cross-training-shoes-004,1,1,"size,color",en
SPORT-JACKET-006,Performance Hoodie,Default,configurable,79.99,0.6,1,4,"Performance hoodie with moisture-wicking fabric and adjustable hood. Available in multiple sizes and colors.","Performance hoodie with moisture-wicking fabric.","Hoodies","Performance Hoodie","Performance hoodie with moisture-wicking fabric","performance;hoodie;moisture-wicking",performance-hoodie-006,1,1,"size,color",en
SPORT-JACKET-007,Training Sweatshirt,Default,configurable,59.99,0.5,1,4,"Training sweatshirt with comfortable fit and moisture-wicking technology. Available in multiple sizes and colors.","Training sweatshirt with comfortable fit.","Sweatshirts","Training Sweatshirt","Training sweatshirt with comfortable fit","training;sweatshirt;comfortable",training-sweatshirt-007,1,1,"size,color",en
SPORT-PANTS-002,Training Joggers,Default,configurable,64.99,0.7,1,4,"Training joggers with elastic waistband and tapered fit. Available in multiple sizes and colors.","Training joggers with elastic waistband.","Joggers","Training Joggers","Training joggers with elastic waistband","training;joggers;elastic",training-joggers-002,1,1,"size,color",en
SPORT-PANTS-003,Performance Shorts,Default,configurable,44.99,0.4,1,4,"Performance shorts with compression liner and side pockets. Available in multiple sizes and colors.","Performance shorts with compression liner.","Shorts","Performance Shorts","Performance shorts with compression liner","performance;shorts;compression",performance-shorts-003,1,1,"size,color",en
SPORT-LEGGINGS-006,Training Leggings,Default,configurable,54.99,0.35,1,4,"Training leggings with compression technology and side pockets. Available in multiple sizes and colors.","Training leggings with compression technology.","Leggings","Training Leggings","Training leggings with compression technology","training;leggings;compression",training-leggings-006,1,1,"size,color",en
SPORT-LEGGINGS-007,High-Waist Leggings,Default,configurable,49.99,0.3,1,4,"High-waist leggings with four-way stretch and comfortable waistband. Available in multiple sizes and colors.","High-waist leggings with four-way stretch.","Leggings","High-Waist Leggings","High-waist leggings with four-way stretch","high-waist;leggings;stretch",high-waist-leggings-007,1,1,"size,color",en
