sku,name,description,short_description,meta_title,meta_description,meta_keywords,categories,store_view_code
SPORT-TSHIRT-001,"T-shirt de Course Haute Performance","T-shirt de course haute performance avec technologie évacuant l'humidité. Parfait pour les entraînements intenses et la course de longue distance.","T-shirt de course évacuant l'humidité pour des performances optimales.","T-shirt de Course Haute Performance","T-shirt de course haute performance avec technologie évacuant l'humidité","performance;course;tshirt","Tops/T-Shirts",fr
SPORT-TSHIRT-002,"Débardeur d'Entraînement","Débardeur d'entraînement léger conçu pour les séances de gym et de cross-training.","Débardeur léger pour l'entraînement en salle.","Débardeur d'Entraînement","Débardeur d'entraînement léger pour les séances de gym","entraînement;débardeur;gym","Tops/Tank Tops",fr
SPORT-SHORTS-001,"Short de Course Athlétique","Short de course confortable avec doublure de compression intégrée et poches latérales.","Short de course avec doublure de compression.","Short de Course Athlétique","Short de course confortable avec doublure de compression","course;short;athlétique","Bottoms/Shorts",fr
SPORT-LEGGINGS-001,"Legging Yoga à Haute Taille","Legging yoga premium avec design haute taille et tissu extensible dans les quatre directions.","Legging yoga haute taille avec extensibilité quatre directions.","Legging Yoga à Haute Taille","Legging yoga premium avec extensibilité quatre directions","yoga;legging;haute-taille","Bottoms/Leggings",fr
SPORT-JACKET-001,"Veste Coupe-Vent de Course","Veste coupe-vent légère parfaite pour la course en plein air par tous les temps.","Coupe-vent léger pour la course en plein air.","Veste Coupe-Vent de Course","Coupe-vent léger pour la course en plein air","coupe-vent;veste;course","Outerwear/Windbreakers",fr
SPORT-SPORTS-BRA-001,"Soutien-Gorge Sportif Haute Intensité","Soutien-gorge sportif haute intensité avec support maximal pour les entraînements intenses et la course.","Soutien-gorge sportif haute intensité pour entraînements intenses.","Soutien-Gorge Sportif Haute Intensité","Soutien-gorge sportif haute intensité pour entraînements intenses","sportif;soutien-gorge;haute-intensité","Tops/Sports Bras",fr
SPORT-SOCKS-001,"Chaussettes Athlétiques Évacuant l'Humidité","Chaussettes athlétiques de performance avec technologie évacuant l'humidité et semelle rembourrée.","Chaussettes athlétiques évacuant l'humidité.","Chaussettes Athlétiques Évacuant l'Humidité","Chaussettes athlétiques évacuant l'humidité avec semelle rembourrée","chaussettes;athlétiques;humidité","Accessories/Socks",fr
SPORT-CAP-001,"Casquette de Performance","Casquette légère avec tissu évacuant l'humidité et fermeture ajustable.","Casquette de performance avec tissu évacuant l'humidité.","Casquette de Performance","Casquette de performance avec tissu évacuant l'humidité","casquette;performance;humidité","Accessories/Caps",fr
SPORT-GLOVES-001,"Gants d'Entraînement","Gants d'entraînement améliorant la prise avec mesh respirant et paumes rembourrées.","Gants d'entraînement améliorant la prise.","Gants d'Entraînement","Gants d'entraînement avec amélioration de la prise","gants;entraînement;prise","Accessories/Gloves",fr
SPORT-HEADBAND-001,"Bandeau Évacuant la Transpiration","Bandeau élastique avec technologie évacuant l'humidité pour éloigner la transpiration des yeux.","Bandeau élastique évacuant la transpiration.","Bandeau Évacuant la Transpiration","Bandeau évacuant la transpiration pour vêtements actifs","bandeau;transpiration;élastique","Accessories/Headbands",fr
